case_id,completeness,scientific_accuracy,tone,actionability,clarity,final_score,final_label,recommendation,adequacy_decision,ready_to_send,evaluation_summary,main_issue,suggested_fix,expected_final_label,label_match
case_001,5,5,5,4,5,4.8,strong,ready_for_submission,adequate,yes,"The response is complete, scientifically accurate, clear, and ready for submission with minimal or no revision.",minor_specificity_or_traceability_issue,Consider adding a little more specificity about the manuscript change or where the reviewer can find it.,strong,True
case_002,2,2,4,1,3,2.4,poor,reject_response,not_adequate,no,"The response is incomplete, inaccurate, unclear, or not appropriate for inclusion in a reviewer response letter.",unclear_revision_or_missing_manuscript_change,"Specify the concrete manuscript change, including the section, table, figure, analysis, or limitation that was revised.",poor,True
case_003,5,5,5,5,5,5.0,strong,ready_for_submission,adequate,yes,"The response is complete, scientifically accurate, clear, and ready for submission with minimal or no revision.",no_major_issue,No major issue identified. The response appears adequate for resubmission.,strong,True
case_004,3,4,4,2,3,3.2,needs_revision,major_revision,not_ready,no,The response partially addresses the reviewer comment but requires substantive revision before submission.,unclear_revision_or_missing_manuscript_change,"Specify the concrete manuscript change, including the section, table, figure, analysis, or limitation that was revised.",needs_revision,True
case_005,5,5,5,4,5,4.8,strong,ready_for_submission,adequate,yes,"The response is complete, scientifically accurate, clear, and ready for submission with minimal or no revision.",minor_specificity_or_traceability_issue,Consider adding a little more specificity about the manuscript change or where the reviewer can find it.,strong,True
case_006,2,1,2,1,3,1.8,poor,reject_response,not_adequate,no,"The response is incomplete, inaccurate, unclear, or not appropriate for inclusion in a reviewer response letter.",scientific_or_methodological_accuracy_issue,Revise the response to avoid unsupported claims and ensure the methodological explanation matches the study design and analysis.,poor,True
case_007,5,5,5,4,5,4.8,strong,ready_for_submission,adequate,yes,"The response is complete, scientifically accurate, clear, and ready for submission with minimal or no revision.",minor_specificity_or_traceability_issue,Consider adding a little more specificity about the manuscript change or where the reviewer can find it.,strong,True
case_008,3,4,4,2,3,3.2,needs_revision,major_revision,not_ready,no,The response partially addresses the reviewer comment but requires substantive revision before submission.,unclear_revision_or_missing_manuscript_change,"Specify the concrete manuscript change, including the section, table, figure, analysis, or limitation that was revised.",needs_revision,True
case_009,5,5,5,5,5,5.0,strong,ready_for_submission,adequate,yes,"The response is complete, scientifically accurate, clear, and ready for submission with minimal or no revision.",no_major_issue,No major issue identified. The response appears adequate for resubmission.,strong,True
case_010,3,4,3,2,3,3.0,needs_revision,major_revision,not_ready,no,The response partially addresses the reviewer comment but requires substantive revision before submission.,unclear_revision_or_missing_manuscript_change,"Specify the concrete manuscript change, including the section, table, figure, analysis, or limitation that was revised.",needs_revision,True
case_011,4,4,4,3,4,3.8,acceptable,minor_revision,adequate_with_minor_edits,conditional,"The response is mostly adequate but would benefit from minor improvements in specificity, detail, or wording.",unclear_revision_or_missing_manuscript_change,"Specify the concrete manuscript change, including the section, table, figure, analysis, or limitation that was revised.",acceptable,True
